Time,w1,w2,PE
3.1,0.5792242,0.6595119,-66.54967
3.12,0.5844308,0.6653642,-73.28384
3.14,0.5891445,0.6705973,-79.70743
3.16,0.5932857,0.6751713,-85.76832
3.18,0.5968011,0.6790528,-91.41554
3.2,0.599624,0.6821687,-96.60011
3.22,0.6017812,0.6844591,-101.2758
3.24,0.6031794,0.6859505,-105.4007
3.26,0.6038052,0.6866096,-108.9372
3.28,0.6036587,0.6863899,-111.8538
3.3,0.6027,0.6852447,-114.1248
3.32,0.6008757,0.683194,-115.7317
3.34,0.5982392,0.680218,-116.6629
3.36,0.5947238,0.6763098,-116.9148
3.38,0.5903962,0.6714895,-116.4914
3.4,0.5852563,0.6657437,-115.4045
3.42,0.5792908,0.6591257,-113.6728
3.44,0.5725264,0.6516223,-111.3228
3.46,0.565003,0.6432866,-108.3866
3.48,0.5567738,0.634132,-104.9025
3.5,0.5478389,0.624225,-100.9131
3.52,0.5382515,0.6135923,-96.46561
3.54,0.5280649,0.6022806,-91.60969
3.56,0.5173191,0.5903563,-86.3972
3.58,0.5060672,0.5778061,-80.88069
3.6,0.4943227,0.5647033,-75.11343
3.62,0.482192,0.5511678,-69.14796
3.64,0.4696884,0.5371663,-63.03475
3.66,0.456892,0.5227719,-56.8227
3.68,0.4438291,0.5080446,-50.55759
3.7,0.43054,0.4930377,-44.2825
3.72,0.417091,0.4778044,-38.03683
3.74,0.4035222,0.4623914,-31.85627
3.76,0.3898335,0.4468119,-25.77213
3.78,0.376105,0.4311258,-19.81349
3.8,0.3623764,0.4153599,-14.00404
3.82,0.3486477,0.3995474,-8.364708
3.84,0.3349591,0.3837083,-2.912437
3.86,0.3213237,0.3678691,2.338521
3.88,0.3078082,0.3520832,7.377094
3.9,0.2943725,0.3363373,12.19564
3.92,0.2810567,0.3206712,16.78787
3.94,0.2678741,0.3050984,21.1507
3.96,0.2548246,0.2896321,25.28242
3.98,0.2419482,0.2742856,29.18334
4.02,0.2166748,0.2440121,36.3001
4.04,0.2042645,0.2290518,39.5228
4.06,0.1920272,0.214218,42.52683
4.08,0.1799631,0.1995374,45.31726
4.1,0.1680588,0.1850031,47.89991
4.12,0.1562876,0.1706088,50.27994
4.14,0.1446762,0.1563143,52.46346
4.16,0.1332113,0.1421596,54.4555
4.18,0.1218796,0.128118,56.26221
4.2,0.1106677,0.114183,57.88887
4.22,0.09958892,0.1003745,59.34042
4.24,0.08861669,0.08663929,60.62185
4.26,0.07773767,0.07297061,61.73746
4.28,0.06695187,0.05941513,62.69102
4.3,0.05621933,0.0459129,63.48636
4.32,0.04555337,0.03246393,64.12628
4.34,0.03495399,0.01909487,64.61314
4.36,0.02436792,0.00574577,64.94935
4.38,0.01382181,-0.007596667,65.13588
4.4,0.003289004,-0.02091913,65.17367
4.42,-0.007230483,-0.03425491,65.06326
4.44,-0.01774997,-0.04758403,64.80394
4.46,-0.0283094,-0.06093313,64.39531
4.48,-0.03889547,-0.07431551,63.83572
4.5,-0.0495348,-0.08775117,63.12339
4.52,-0.06022739,-0.1012401,62.25583
4.54,-0.07098656,-0.1147823,61.23017
4.56,-0.08182563,-0.1283977,60.043
4.58,-0.0927579,-0.1421063,58.69032
4.6,-0.1037834,-0.1558815,57.16817
4.62,-0.1149287,-0.1697699,55.4718
4.64,-0.1261673,-0.1837382,53.59641
4.66,-0.1375123,-0.1978263,51.53702
4.68,-0.1489906,-0.2120209,49.28868
4.7,-0.1606019,-0.2263354,46.84594
4.72,-0.1723332,-0.2407498,44.20346
4.74,-0.1842508,-0.2552773,41.35659
4.76,-0.196275,-0.2699181,38.30005
4.78,-0.2084323,-0.2846919,35.02989
4.8,-0.2207361,-0.2995391,31.54241
4.82,-0.2331598,-0.3144794,27.83475
4.84,-0.2457166,-0.3295329,23.90475
4.86,-0.2583799,-0.344633,19.75193
4.88,-0.2711364,-0.3597931,15.37711
4.9,-0.2839995,-0.3750197,10.78251
4.92,-0.2969292,-0.3902796,5.972305
4.94,-0.3099121,-0.4055528,0.9527384
4.96,-0.3229349,-0.4207861,-4.267096
4.98,-0.3359844,-0.4359662,-9.676079
5.02,-0.3619769,-0.4660532,-21.00118
5.04,-0.3748533,-0.4809136,-26.879
5.06,-0.3876364,-0.495561,-32.8697
5.08,-0.4002598,-0.509982,-38.94578
5.1,-0.4126835,-0.5241567,-45.07614
5.12,-0.4248408,-0.5380052,-51.22704
5.14,-0.4367451,-0.5515074,-57.36052
5.16,-0.4483033,-0.5646101,-63.43608
5.18,-0.4595018,-0.5772468,-69.41062
5.2,-0.4703143,-0.5893909,-75.23889
5.22,-0.4806207,-0.6009822,-80.87364
5.24,-0.4904211,-0.6119745,-86.26622
5.26,-0.4996756,-0.6223541,-91.3682
5.28,-0.5083442,-0.6320148,-96.13097
5.3,-0.516347,-0.6409896,-100.5074
5.32,-0.5236973,-0.6491789,-104.4523
5.34,-0.530302,-0.6565558,-107.9229
5.36,-0.5361609,-0.6631271,-110.8807
5.38,-0.5412609,-0.668833,-113.2912
5.4,-0.5456018,-0.6736666,-115.1256
5.42,-0.5491039,-0.6776014,-116.3604
5.44,-0.5518336,-0.6806108,-116.9787
5.46,-0.5537378,-0.682748,-116.9703
5.48,-0.554843,-0.683993,-116.3316
5.5,-0.555136,-0.6843525,-115.066
5.52,-0.55463,-0.6837999,-113.1836
5.54,-0.5533516,-0.6823751,-110.7012
5.56,-0.5513409,-0.6801248,-107.6417
